Model,BasePrice,MachineOptionCount,MachineStandardCount,CNCOptionCount,CNCStandardCount,StdSpecSections
PJ303X,900900.0,59,14,245,94,20
VL30,690690.0,52,10,240,68,22
VL30-5X,893340.0,53,9,238,63,19
VL50,843570.0,51,9,236,63,28
VU50A,590090.0,90,12,238,63,28
VU65A,729730.0,99,14,238,63,30
VU65A-SH,985380.0,79,13,235,63,29
Vertex55 NEO,573580.0,90,17,229,83,24
Vertex55X NEO,700250.0,94,17,230,83,24
Vertex55X NEO-DD,1051390.0,93,17,230,83,24
Vertex75 NEO,667490.0,90,17,230,83,24
Vertex75X NEO,963690.0,94,18,230,83,24
Vertex75X NEO-DD,1054690.0,93,17,230,83,24
Vertex100X,1946490.0,93,15,230,83,22
HU50A,769050.0,96,14,238,63,30
HU63EX,854490.0,125,16,231,62,30
HPX63 II,900900.0,120,16,238,64,30
HU80EX,927320.0,121,15,231,62,30
HU100,1430520.0,146,15,238,63,24
HS8A,2076170.0,115,14,241,63,21
H5D,1495140.0,90,15,238,63,29
H6D,1593885.0,89,15,238,63,28
HU50A-5X,1185510.0,99,14,238,63,30
HU63A-5X,1318590.0,120,13,238,63,33
HU80A-5X,1816820.0,120,13,238,63,29
HU100-5X,2230410.0,132,13,238,63,16
HU100-5X (1500),2395580.0,132,13,238,63,16
HU100-5XL,2873330.0,139,13,238,63,16
HU100-5XLL,3359270.0,139,13,238,63,16
HU100-TS,1850940.0,134,16,236,63,16
HU100-TS HD,2058830.0,122,16,236,63,16
HU50-T,1093370.0,97,14,238,63,31
HU63-T,1214850.0,110,13,238,63,29
HU100-T,1579310.0,118,13,238,63,29
PJ812,1064570.0,71,12,238,63,34
J6CN,1404590.0,49,12,237,63,27
J7CN,1641140.0,47,11,237,63,14
J1220,1874425.0,79,11,238,63,30
J1230,1987950.0,79,11,238,63,30
J1625,2250325.0,78,11,238,63,30
VJ7A,1874425.0,78,11,238,63,17
J350G,836340.0,141,18,237,77,20
J450G,1268090.0,137,17,236,77,19
J650G,1444170.0,137,17,236,77,19
J750G,2054060.0,137,17,236,77,19
J7G-HD,1935570.0,39,8,237,63,31
GSE30A,828560.0,71,28,228,61,18
GSE50H,979645.0,136,33,230,63,18
GSE50A,1008740.0,145,35,230,63,18
GSE100A,1280370.0,132,27,230,63,22
GSE200A,2361450.0,129,33,230,63,18
GSE320A,3925740.0,122,35,230,63,18
GSN180iS,1100190.0,95,30,230,63,14
VGi20A,1419000.0,21,10,29,27,22
LMS-1500N,1268850.0,45,28,230,63,4
LMS-3000N,1433850.0,46,28,230,63,7
